epoch,loss,mae,val_loss,val_mae
1,0.5540021061897278,0.9424245357513428,0.6475738286972046,1.0534956455230713
2,0.4497389793395996,0.8230447769165039,0.5945071578025818,0.9718986749649048
3,0.3928793668746948,0.7559582591056824,0.6063963770866394,0.9844835996627808
4,0.39738306403160095,0.7497206330299377,0.550329864025116,0.9255971312522888
5,0.3867447078227997,0.7354820370674133,0.5223853588104248,0.9089452028274536
6,0.3666270077228546,0.7204155325889587,0.5172263383865356,0.9005867838859558
7,0.3415502607822418,0.6897012591362,0.549603283405304,0.9245418906211853
8,0.35121268033981323,0.6972404718399048,0.579626739025116,0.9597406983375549
9,0.3501753807067871,0.6958643794059753,0.5655648112297058,0.9421833753585815
10,0.30002257227897644,0.6386577486991882,0.5716491341590881,0.9527599811553955
11,0.3424490988254547,0.6868640780448914,0.5760647654533386,0.9618151783943176
12,0.3232378363609314,0.6570576429367065,0.5710129141807556,0.9527079463005066
13,0.3462023437023163,0.6974883675575256,0.5678727030754089,0.9455973505973816
14,0.33574023842811584,0.6732954382896423,0.5523797869682312,0.9307072758674622
15,0.3155971169471741,0.6518226265907288,0.5365220308303833,0.9187167286872864
16,0.33041828870773315,0.6677787899971008,0.527303159236908,0.9125548601150513
17,0.30112311244010925,0.6292994022369385,0.5368356704711914,0.9230482578277588
18,0.3145092725753784,0.6486099362373352,0.5426940321922302,0.9285405874252319
